
article                         物品
as                              随着,当......时候
break                           违反 v
but                             而且
clear                           明确的 adj
close                           亲密的 adj
date                            约会 n/v
difficult                       难缠的
far                             非常 adv/遥远地 adv/adj
find                            发觉
fine                            罚款 v/n
follow                          听懂 v
gift                            天赋 n
head                            领导,带领 v
hear                            听说 v
issue                           颁布,分发,分配 v
know                            认识,懂
little                          少
look                            神情 n
meet                            满足 v
on                              开着的 adj
out                             外面
place                           放置 v
please                          取悦,使开心/满意 v
pretty                          非常 adv
primary                         初级的,主要的,基本的 adj
right                           权力
seat                            使坐下 v
share                           股份,份额 n
still                           静止的 adj
stop                            阻止 v
stream                          小河,小溪
study                           学业,研究 n/研究 v
such                            像
tire                            厌烦,累
consideration                   注意事项
break                           出错 v
keep                            老是 v
agreed      约定的 adj
source                  获得 v

















